"Sample","Rock description","Labela","Unit","Sm(ppm)","Nd(ppm)","147Sm/144Nd","143Nd/144Nd","±2σmean(%)","εNd(0)","εNd(570)","143Nd/144Ndini","87Sr/86Sr","δ13Cb","Crc(ppm)","δ53Craverage(‰)","±2σmd","nf"
"0001116-1","Calcisiltite from rhythmite","1","A","097","561","010442","0511413","000011","−239","−172","0511023","070878","04","203","029","005","2"
"0001116-2","Calcisiltite from rhythmite","2","A","156","919","010906","0511454","000012","−231","−167","0511047","070795","30","251","025","005","4"
"0001117-4","Calcisiltite","3","A","103","549","011729","0511497","000020","−223","−165","0511059","070812","","117","022","003","4"
"0001117-5e","Fine calcarenite","4","A","066","343","011568","0511553","000010","−212","−153","0511121","070854","","151","019","006","1"
"CCU-45K","Calcisiltite","5","A","038","195","011879","0511647","000039","−193","−137","0511203","070731","43","140","006","005","2"
"CCU-45I","Dolomitic calcisiltite","6","B","065","359","010909","0511516","000008","−219","−155","0511109","070788","27","102","014","005","2"
"CCU-45F","Dolomitic calcarenite","7","B","105","562","011616","0511648","000011","−193","−135","0511214","070729","14","126","−007","006","2"
"CCU-45E","Dolomitic calcarenite","8","B","172","898","011569","0511738","000008","−176","−117","0511306","070735","−01","44","−013","006","2"
"CCU-45C","Fine calcarenite","9","B","375","1654","012874","0511769","000010","−170","−120","0511288","070762","−12","42","−012","004","2"
"CCU-45A","Dolomitic calcarenite","10","B","170","772","012823","0511745","000009","−174","−124","0511266","070756","−13","41","−013","006","2"
"0001117-6","Dolomitic calcisiltite","11","B","047","223","012842","0511821","000012","−159","−110","0511342","070723","−25","23","−015","006","2"
"0001117-7","Veryﬁne calcarenite","12","B","114","467","012596","0511733","000016","−177","−125","0511262","070764","−31","33","−007","003","2"
"0001117-8","Calcisiltite from rhythmite","13","B","101","502","012175","0511808","000010","−162","−107","0511354","070730","−33","53","−017","008","2"
"0001117-9","Calcarenite from rhythmite","14","B","215","907","012751","0511742","000009","−175","−125","0511266","070774","−28","74","−008","003","1"
"0001117-13","Fine calcarenite","15","B","099","527","011744","0511670","000011","−189","−131","0511231","070722","−10","106","−006","002","4"
"0001117-14","Calcisiltite","16","B","116","584","012047","0511585","000009","−205","−150","0511135","070769","13","138","010","003","1"
"0001117-10e","Dolosiltite from rhythmite","17","B","154","742","012045","0511576","000011","−207","−152","0511126","070813","21","154","014","001","4"
"001117-16","Veryﬁne calcarenite","18","C","","","","","","","","","070696","21","53","011","005","2"
"001117-17","Calcisiltite from rhythmite","19","C","","","","","","","","","070830","−07","104","010","006","2"
"001015-5","Dolomitic calcisiltite","20","E","","","","","","","","","070874","04","164","019","006","1"
"020130/6","Calcisiltite","21","E","","","","","","","","","070707","41","","","","",""
"020130/3A","Calcisiltite","22","E","","","","","","","","","070698","14","","","","",""
"020130/3B","Medium-coarse calcarenite","23","E","","","","","","","","","070729","05","","","","",""
