"Sample","Maﬁc rocks","","","","","","Phonolites","","","","",""
"","CY-32","CY-98","CY-124","CY-199","CY-200","CY-247","CY-80","CY-123","CY-168","CY-188","CY-215","CY-265"
"Major elements (wt.%)","","","","","","","","","","","",""
"SiO2","42.31","39.32","43.88","44.71","44.66","38.81","54.41","51.38","50.80","53.46","46.02","51.91"
"TiO2","3.765","3.945","2.839","2.551","2.625","3.836","0.339","0.379","0.353","0.408","2.166","0.394"
"Al2O3","14.39","11.81","15.19","14.97","15.06","11.08","22.20","20.90","21.90","21.79","17.96","21.87"
"T","","","","","","","","","","","",""
"Fe2O3","11.87","12.74","10.33","9.69","9.87","12.70","2.77","3.25","3.39","3.43","8.09","3.41"
"MnO","0.204","0.205","0.198","0.187","0.188","0.182","0.210","0.136","0.194","0.201","0.201","0.201"
"MgO","5.76","9.59","6.43","7.47","7.47","12.89","0.13","0.25","0.45","0.23","2.69","0.27"
"CaO","11.66","13.07","9.74","8.83","8.99","13.09","0.98","1.99","1.68","1.98","7.50","1.76"
"Na2O","5.80","3.79","5.53","5.97","5.97","4.47","11.42","11.66","11.26","10.65","9.14","10.03"
"K2O","0.92","1.33","2.46","2.88","2.98","2.01","6.33","6.33","6.37","6.34","4.03","7.14"
"P2O5","0.64","0.64","0.56","0.49","0.49","0.55","0.06","0.07","0.04","0.06","0.54","0.05"
"LOI","1.79","2.65","2.52","1.28","1.02","0.64","1.25","3.73","3.15","2.07","1.41","2.54"
"Total","99.11","99.08","99.67","99.02","99.33","100.30","100.10","100.10","99.57","100.60","99.75","99.56"
"Trace elements (ppm)","","","","","","","","","","","",""
"Rb","25.0","16.0","36.0","51.0","52.0","42.0","224.0","180.0","210.0","198.0","66.0","224.0"
"Sr","973","793","998","841","873","726","482","573","747","876","1313","1292"
"Y","33","31","26","24","26","23","21","13","20","22","31","21"
"Zr","347","302","342","354","342","214","885","878","733","787","440","725"
"Nb","87.7","73.7","75.7","74.9","74.5","66.5","128.0","148.0","101.0","111.0","105.0","102.0"
"Cs","0.9","0.6","1.1","1.1","0.9","0.3","2.6","2.5","2.3","2.6","1.3","2.0"
"Ba","650","602","1102","877","972","593","254","927","655","1132","1636","1806"
"Hf","7.8","7.5","7.0","7.4","7.2","5.4","14.6","13.0","10.9","12.2","7.9","10.9"
"Ta","5.37","5.70","4.34","3.70","3.85","4.09","3.03","4.11","1.77","2.44","4.90","2.30"
"Pb","8","5","16","7","8","5","22","12","22","22","11","15"
"Th","6.4","4.7","6.7","7.1","7.0","3.2","17.9","14.4","18.8","18.0","8.9","11.0"
"U","1.41","1.23","1.63","1.74","1.51","0.84","6.17","4.11","5.86","6.15","1.81","3.27"
"La","64","55","56","48","50","44","49","31","42","64","80","65"
"Ce","132","119","114","98","102","93","84","54","72","101","153","110"
"Pr","14.70","14.00","12.50","10.80","11.20","10.80","7.42","5.30","6.64","9.03","16.20","9.58"
"Nd","58","57","48","42","44","42","22","18","21","27","56","28"
"Sm","10.6","10.5","8.7","7.6","7.9","8.3","3.3","2.8","3.3","3.9","9.3","4.1"
"Eu","3.5","3.5","2.9","2.5","2.7","2.7","1.1","0.9","1.1","1.3","3.1","1.3"
"Gd","9.9","10.1","7.8","7.0","7.3","7.1","2.6","2.2","2.4","2.8","7.3","3.2"
"Tb","1.38","1.32","1.11","1.00","1.03","1.00","0.50","0.37","0.48","0.53","1.11","0.57"
"Dy","6.84","6.39","5.69","5.00","5.25","5.05","3.12","2.18","3.08","3.36","5.72","3.41"
"Ho","1.18","1.13","0.99","0.89","0.94","0.83","0.66","0.43","0.64","0.71","1.03","0.68"
"Er","3.06","2.91","2.59","2.37","2.44","2.10","2.23","1.31","2.09","2.32","2.80","2.12"
"Tm","0.421","0.384","0.353","0.330","0.344","0.255","0.385","0.211","0.349","0.387","0.391","0.341"
"Yb","2.43","2.21","2.09","2.04","2.08","1.44","2.64","1.45","2.51","2.70","2.41","2.36"
"Lu","0.333","0.297","0.298","0.286","0.290","0.189","0.413","0.217","0.385","0.421","0.339","0.348"
"PREE","309","284","263","227","237","219","180","120","158","220","338","231"
