"T","able4Sr-NdisotopicdataofgraniticrocksamplesoftheLangeriandVal’zaplutons","","","","","","","","","",""
"Sample","","","","","","","","","","",""
"","Rocktype","Age","[Rb]","[Sr]","87Rb/","87Sr/","±2sm","I(Sr)","[Sm]","[Nd]","147Sm/"
"No","","","","","","","","","","",""
"","","(Ma)","(ppm)","(ppm)","86Sr","86Sr","","","(ppm)","(ppm)","144Nd"
"SK15-20","granodiorite","37","103","297","100","0704790","9","070426","33","151","01309"
"SK15-21","granodiorite","37","89","374","069","0704685","7","070432","38","183","01267"
"SK15-22","","","","","","","","070433","51","223","01377"
"SK15-23","","","","","","","","070435","43","210","01240"
"SK15-24","","","","","","","","070451","44","210","01270"
"SK15-25","","","","","","","","070452","51","236","01299"
"SK15-27","","","","","","","","070437","36","178","01220"
"SK15-32","","","","","","","","070444","28","131","01285"
"SK15-33","","","","","","","","070432","27","124","01307"
"SK15-34","","","","","","","","070432","35","179","01164"
"SK15-35","","","","","","","","070488","43","203","01278"
"SK15-36","","","","","","","","070454","41","192","01280"
"SK15-37","","","","","","","","070449","38","181","01259"
"SK15-38","","","","","","","","070453","33","152","01320"
"SK15-39","","ACCEPTEDMANUSCRIPT","","","","","","070438","31","146","01294"
"SK15-40","","","","","","","","070443","35","167","01264"
"ɛNd(0)=104*((143Nd/144Nd)sample(0)/(143Nd/144Nd)CHUR(0)-1)","","","","","","","","","","",""
"ɛNd(t)=ɛNd(0)-QNd*fs*t(tinGa)","","","","","","","","","","",""
"fs=fSm/Nd,sample(0)=(147Sm/144Nd)sample(0)/(147Sm/144Nd)CHUR(0)-1","","","","","","","","","","",""
"TDM-1=(1/l147)xloge{1+[(143Nd/144Nd)(0)sample-(143Nd/144Nd)DM]/[(147Sm/144Nd)(0)sample-(147Sm/144Nd)DM]}","","","","","","","","","","",""
"TDM-2=((eNdDM,present-eNd(0)sample+Qx013x(fs-fcc)))/(Qx(fDM-fcc))x1000","","","","","","","","","","",""
"Q=2513(/Ga)when146Nd/142Ndisnormalizedto063151(DePaolo,1988)","","","","","","","","","","",""
"(143Nd/144Nd)CHUR,present=0512638(afterGoldsteinetal,1984)","","","","","","","","","","",""
"(147Sm/144Nd)CHUR,present=01967(afterJacobsenandWasserburg,1980)","","","","","","","","","","",""
"","","","","","","","","","","",""
"147=000654/Ga:decayconstantof147SmAfterLugmairandMarti(1978)","","","","","","","","","","",""
