"Sample","Age(Ma)","206Pb/204Pb","207Pb/204Pb","208Pb/204Pb","U(ppm)","Pb(ppm)","Th(ppm)","(206Pb/204Pb)i","(207Pb/204Pb)i","(208Pb/204Pb)i"
"LWM01","212","16812","15463","37034","156","463","821","16744","15460","36917"
"LWM02","212","16805","15462","37031","152","214","462","16661","15455","36888"
"LWM03","212","16861","15458","37033","154","208","458","16711","15450","36887"
"LWM06","212","16793","15448","37001","118","373","412","16729","15445","36928"
"WJZ01","1996","16785","15441","37002","123","361","404","16720","15438","36932"
"WJZ03","1996","16794","15443","37004","124","332","392","16723","15439","36931"
"MJZ03","1364","16804","15439","37203","111","185","117","16726","15435","36934"
"MJZ04","1364","16812","15438","37202","123","184","115","16725","15434","36936"
"MJZ05","1364","16883","15443","37194","195","162","975","16726","15435","36937"
"MJZ11","1364","16789","15439","37086","212","436","154","16726","15436","36936"
"MJZ18","1364","16791","15437","37082","224","454","155","16727","15434","36937"
"MJZ25","1364","16791","15439","37061","216","443","132","16728","15436","36934"
"MJZ28","1364","16768","15437","37015","148","455","831","16726","15435","36937"
"MJZ36","1364","16836","15442","37037","162","187","453","16723","15437","36934"
"JY03","1364","16766","15436","37014","143","436","814","16723","15434","36935"
"JY07","1364","16793","15439","37058","228","443","127","16726","15436","36936"
"JY14","1364","16812","15438","37055","252","376","106","16725","15434","36935"
"JY15","1364","16865","15443","37159","231","218","115","16727","15436","36934"
"HM01","1235","17063","15534","37056","092","156","543","16993","15531","36921"
"HM03","1235","17041","15531","37184","075","192","131","16995","15529","36920"
"XHH02","1233","17048","15534","36993","121","262","478","16994","15531","36923"
"XHH03","1233","17063","15535","37077","345","578","233","16993","15532","36921"
"XHH04","1233","17067","15538","37064","338","554","205","16995","15535","36921"
"XHH05","1233","17061","15536","37086","366","646","272","16994","15533","36923"
