"Sample","Unit","B","δ11B‰","87Sr/86Sr","±2σ","143Nd/144Nd","±2σ"
"","","(ppm)","","","","",""
"AST350RTwr","7","","","0707341","0000008","0512488","0000007"
"AST350CIVwr","7","42","−92","0707395","0000011","0512484","0000006"
"AST3487dPcwr","7","35","−94","0707315","0000010","0512492","0000008"
"AST3487ascwr","7","35","","0707360","0000009","0512490","0000008"
"AST3487ascSa","7","","","0707540","0000010","",""
"AST3487ascbt","7","","","0707421","0000011","",""
"AST3487ascdark","7","","","0707417","0000012","0512443","0000012"
"greencpx","","","","","","",""
"AST3487ascpale","7","","","0706638","0000011","0512544","0000021"
"greencpx","","","","","","",""
"AST3487ascglass7","","","","0707380","0000011","",""
"AST3487aPwr","7","40","","0707310","0000009","0512489","0000011"
"AST3486fSwr","6","","","0707346","0000012","",""
"AST3486fPwr","6","","","0707386","0000010","",""
"AST3486eSwr","6","34","−91","0707291","0000010","0512506","0000009"
"AST3486ePwr","6","41","","0707277","0000009","0512504","0000007"
"AST3486cVwr","6","36","−98","0707259","0000011","0512496","0000010"
"AST3486cDwr","6","39","−97","0707363","0000011","0512492","0000007"
"AST3486awr","6","48","","0707362","0000010","0512483","0000009"
"AST3135cwr","5","45","","0707417","0000008","0512475","0000009"
"AST3135awr","5","","","0707369","0000009","0512489","0000008"
"AST3084fwr","4","","","0707481","0000008","",""
"AST3084cwr","4","","","0707470","0000008","",""
"AST3084awr","4","39","−89","0707471","0000009","0512474","0000008"
"AST3273ewr","3","","","0707510","0000010","",""
"AST3273cwr","3","49","−79","0707510","0000007","",""
"AST3273awr","3","","","0707470","0000008","",""
"AST3132awr","2","51","−83","0707500","0000009","",""
"AST3131cwr","1","","","0707537","0000008","",""
"AST3131bwr","1","","","0707553","0000007","",""
"AST3131awr","1","50","−81","0707551","0000010","0512475","0000008"
"Xenolith","","","","","","",""
"AST348Lglass","","","","0706653","0000011","0512550","0000011"
"AST348Lcpx","","","","0706633","0000012","0512545","0000011"
