"SampledUnit","Group","Terrane","Age(Ma)","I-SorA-type","RockType","Granite","Alkali","FeorMg","Timing","Setting"
"MakkahSuite[dm01a]","IslandArc","Jiddah","8456","I","GD","M","","M","PCU","VAG-WPVZ"
"Shufay-yahComplex[su]","","Hijaz","7154","I","T","M","PT","M","PPC","VAG-ACM/WPVZ"
"","Synorogenic","","","","","","","","",""
"","","","","","","","","","",""
"Jar-SalajahComplex[js]","","Hijaz","6932","I","G&GD","PA","","M","SC","VAG-ACM/WPVZ"
"AlHafoorSuite[ao85]","","","","","","","I","","",""
"","","Tathlith","6360","I&A","AG","PA","CA","F&M","SC-PO","VAG-ACM/OA"
"AlHafoorSuite[ao88]","","","","","","R","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"IbnHashbalSuite[ih]WadbahSuite[wb]","","AsirAsir","61766159","AA","","","ACAC","M&FF","SC-POSC-A","VAG-ACMWPG-VAG-WPVZ"
"ArRuway-dahSuite[ku]","","AdDawadimi","6110","A","","","AC","F","SC-PO","WPG-ACM"
"KawrSuite[kw51p]","","","","","USC","","","","",""
"KawrSuite[kw42]","Post-tectonic","","","","","","","","",""
"","","Asir","6117&608","I&A","","P,PA&M","AC&CA","F&M","A-SC-PO","WPG/VAG-ACM"
"KawrSuite[kw43]","","","","","","","","","",""
"KawrSuite[kw14]","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"HamlSuite[hla]NajirahGranite[nr]","","","","","G-AG","PA","ACAC","MF","SC-LOSC-PO","VAG-ACMWPG-OG-ACM"
"IdahSuite[id]","","","","","AG","PA","AC","F","SC-A","VAG-ACM"
"AlKhushaymiyahSuite[ky]","","","","","M","PA","A","M","LO","VAG-ACM/OA"
"MallikGranite[kg]","","","","","G","PA","AC&CA","F&M","SC","VAG-ACM"
"AdmarSuite[ad]","","","","","S","M","A","M","LO","VAG-WPVZ"
"AlBadSuite[abg]","","","","","AG","PA","AC&CA","F&M","A","WPG-ACM"
"","Anorogenic","","","","","","","","",""
"AlHawiyahSuite[hwg]","","","","","G&M","PA&M","AC&CA","F","SC-PO","WPG-ACV/WPVZ"
"AbanatSuite[aa]","","","","","AG","P","AC","F","A","WPG-ACM"
"MardabahComplex[mr]","","","","","S","M","A","F","LO","WPG-WPVZ"
"","","CEPTEDMAN","","","","","","","",""
