"Sample number","Eruption age","(238U/232Th)","(230Th/232Th)m","(230Th/232Th)c","(238U/230Th)c","(234U/238U)","(226Ra/230Th)m"
"Upper Basalts","","","","","","",""
"KB145 (B)","(700–900)","0.695 (cid:139) 0.028","1.091 (cid:139) 0.041","1.094 (cid:139) 0.041","0.635 (cid:139) 0.035","0.998 (cid:139) 0.010","2.10 (cid:139) 0.21*"
"KB119 (B)","(700–900)","0.709 (cid:139) 0.026","1.195 (cid:139) 0.036","1.199 (cid:139) 0.036","0.591 (cid:139) 0.044","1.001 (cid:139) 0.010","4.11 (cid:139) 0.12*"
"KB59 (H)","(8000)","0.625 (cid:139) 0.023","1.028 (cid:139) 0.034","1.056 (cid:139) 0.034","0.592 (cid:139) 0.029","0.999 (cid:139) 0.016","1.06 (cid:139) 0.19"
"KB46 (H)","(250 (cid:139) 100)","0.826 (cid:139) 0.053","1.143 (cid:139) 0.040","1.144 (cid:139) 0.040","0.723 (cid:139) 0.047","1.000 (cid:139) 0.011","3.60 (cid:139) 0.15*"
"KB82 (H)","(700–900)","0.731 (cid:139) 0.025","1.141 (cid:139) 0.041","1.168 (cid:139) 0.041","0.626 (cid:139) 0.033","0.994 (cid:139) 0.014","2.51 (cid:139) 0.24*"
"Lower Basalts","","","","","","",""
"KB121 (H)","(38,000)","0.654 (cid:139) 0.021","1.002 (cid:139) 0.021","1.135 (cid:139) 0.021","0.576 (cid:139) 0.021","1.009 (cid:139) 0.011","1.04 (cid:139) 0.22"
"Comenditic trachytes","","","","","","",""
"KB80 (Floor)","(c.100)","0.539 (cid:139) 0.021","0.686 (cid:139) 0.026","0.686 (cid:139) 0.026","0.786 (cid:139) 0.024","0.999 (cid:139) 0.010","2.01 (cid:139) 0.11*"
"KB89 (Floor)","(3000)","0.605 (cid:139) 0.024","0.702 (cid:139) 0.021","0.705 (cid:139) 0.021","0.858 (cid:139) 0.022","0.995 (cid:139) 0.011","1.31 (cid:139) 0.13*"
"KB99 (Kapus)","(27,000)","0.641 (cid:139) 0.020","0.695 (cid:139) 0.022","0.717 (cid:139) 0.048","0.894 (cid:139) 0.031","1.011 (cid:139) 0.012","1.01 (cid:139) 0.12"
"KB244 (Kapus)","(27,000)","0.658 (cid:139) 0.012","0.781 (cid:139) 0.014","0.788 (cid:139) 0.014","0.835 (cid:139) 0.011","1.009 (cid:139) 0.011","1.10 (cid:139) 0.10"
"Pantelleritic trachytes","","","","","","",""
"KB144 (Emur)","(4000)","0.897 (cid:139) 0.021","0.847 (cid:139) 0.011","0.849 (cid:139) 0.011","1.057 (cid:139) 0.020","0.998 (cid:139) 0.014","1.03 (cid:139) 0.11"
"KB97 (Emur)","(16,000)","0.659 (cid:139) 0.034","0.853 (cid:139) 0.022","0.859 (cid:139) 0.022","0.767 (cid:139) 0.029","0.998 (cid:139) 0.009","0.99 (cid:139) 0.12"
"KB61 (Enab)","(38,000)","0.664 (cid:139) 0.018","0.845 (cid:139) 0.023","0.944 (cid:139) 0.053","0.703 (cid:139) 0.021","0.996 (cid:139) 0.010","0.99 (cid:139) 0.10"
"KB258 (Enab)","(38,000)","0.648 (cid:139) 0.031","0.864 (cid:139) 0.033","0.955 (cid:139) 0.033","0.679 (cid:139) 0.029","1.007 (cid:139) 0.011","1.04 (cid:139) 0.12"
"KB245 (Enab)","(38,000)","0.673 (cid:139) 0.021","0.850 (cid:139) 0.022","0.978 (cid:139) 0.022","0.688 (cid:139) 0.020","1.004 (cid:139) 0.009","1.05 (cid:139) 0.09"
"KB150 (Enab)","(38,000)","0.750 (cid:139) 0.025","0.959 (cid:139) 0.041","1.045 (cid:139) 0.041","0.718 (cid:139) 0.031","1.009 (cid:139) 0.011","1.08 (cid:139) 0.13"
"KB141 (Nak)","(4000)","0.860 (cid:139) 0.019","0.832 (cid:139) 0.014","0.831 (cid:139) 0.014","1.035 (cid:139) 0.018","1.000 (cid:139) 0.013","1.10 (cid:139) 0.10"
"KB143 (Nak)","(16,000)","0.704 (cid:139) 0.022","0.934 (cid:139) 0.024","0.971 (cid:139) 0.040","0.725 (cid:139) 0.026","0.996 (cid:139) 0.011","1.09 (cid:139) 0.11"
"KB90 (Nak)","(16,000)","0.795 (cid:139) 0.035","0.924 (cid:139) 0.037","0.948 (cid:139) 0.037","0.839 (cid:139) 0.039","0.995 (cid:139) 0.013","0.99 (cid:139) 0.13"
"KB91 (Nak)","(16,000)","0.807 (cid:139) 0.023","1.000 (cid:139) 0.022","1.037 (cid:139) 0.022","0.778 (cid:139) 0.021","0.999 (cid:139) 0.019","1.11 (cid:139) 0.14"
