"","18","Grandior","2","3","4","5","6","7","8"
"","","TTG","","","","","","",""
"S38","S140a","C40","C46","S65","S42","C52","F05","S43","S44"
"762","772","526","624","649","653","664","672","686","686"
"011","012","079","049","048","043","026","03","037","041"
"","132","154","175","158","158","174","165","151","158"
"084","16","894","471","44","48","32","31","36","29"
"001","004","017","007","006","006","005","004","005","004"
"055","067","67","23","21","19","092","097","14","102"
"","27","85","51","41","38","41","37","33","3"
"","34","42","49","37","37","54","52","37","44"
"101","11","15","2","31","37","2","12","29","26"
"005","002","027","018","019","02","004","009","013","015"
"042","062","078","076","042","068","004","032","048","052"
"1003","1006","999","1006","993","1007","999","987","100","997"
"","45","57","69","68","74","74","64","66","7"
"","3","036","041","084","1","037","023","078","059"
"","23","19","21","18","2","26","25","19","25"
"","113","065","089","094","093","094","099","099","101"
"","46","60","49","48","45","37","39","43","41"
"","","499","928","1944","2782","834","366","2026","1051"
"","","304","302","28","57","7","10","84","34"
"8,358","","12,450","16,600","25,779","30,270","16,600","9,960","24,203",""
"","","–","–","2","3","–","–","3","9"
"","","155","10","4","23","–","–","–","17"
"","","34","45","81","77","37","11","48","97"
"","","446","538","524","582","375","363","528","347"
"","","109","71","73","71","36","29","52","39"
"","","35","13","10","11","–","–","4","10"
"","","116","57","55","51","48","52","43","52"
"","","115","189","133","171","96","227","154","183"
